Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/agent,267,0,24000.0,35534.96280353187,1512.8165000005538,117158.13604100003,559.5992509363296,0.8929316998492778,0.0,24000,48000,60000,67000,84000,94000,102000,107000,117000,117000,117000
GET,/health,146,0,1300.0,2265.1323327397454,1.8923750012618257,9591.125124999962,15.0,0.4882697684569085,0.0,1300,3400,4500,4600,5500,7200,8900,9100,9600,9600,9600
POST,/query [rag],944,0,15000.0,15685.32736434743,616.9110829996498,33795.87037500096,10234.01906779661,3.1570319275569974,0.0,15000,19000,22000,23000,26000,28000,31000,32000,34000,34000,34000
,Aggregated,1357,0,14000.0,18147.010627167983,1.8923750012618257,117158.13604100003,7231.036845983787,4.538233395863184,0.0,14000,19000,23000,25000,31000,60000,83000,94000,108000,117000,117000
