Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/agent,230,0,12000.0,22177.36024779995,1160.7352920000267,90389.26545800132,626.8347826086956,0.769431974871102,0.0,12000,26000,38000,44000,57000,67000,76000,78000,90000,90000,90000
GET,/health,128,0,3,4.038182664046985,1.7962910005735466,21.665917000063928,15.0,0.4282056207978307,0.0,3,4,4,5,6,9,14,14,22,22,22
POST,/query [rag],816,0,10000.0,8901.448404800229,392.5547500002722,25641.101499999422,10424.683823529413,2.7298108325861707,0.0,10000,11000,11000,12000,15000,19000,21000,22000,26000,26000,26000
,Aggregated,1174,0,10000.0,10532.275675206105,1.7962910005735466,90389.26545800132,7370.216354344123,3.9274484282551034,0.0,10000,11000,12000,13000,21000,38000,57000,67000,89000,90000,90000
