Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/agent,886,768,2,5475.912594479725,0.7409169993479736,91969.68620900043,97.79345372460497,7.418962037765507,6.430883572239175,2,3,3,4,24000,48000,73000,76000,92000,92000,92000
GET,/health,430,369,2,2256.786256606978,1.141875000030268,28179.954834000455,2.127906976744186,3.6006249167484965,3.089838591349291,2,3,3,4,7500,23000,26000,26000,28000,28000,28000
POST,/query [rag],3043,2587,3,3747.121018211603,0.8227920006902423,50514.75991599909,1558.021360499507,25.480701445734127,21.662364324717117,3,3,4,4,22000,30000,39000,45000,50000,51000,51000
,Aggregated,4359,3724,2,3951.494817037837,0.7409169993479736,91969.68620900043,1107.7354897912364,36.50028840024813,31.18308648830558,2,3,4,4,22000,30000,44000,50000,79000,92000,92000
